library,D,t,lnZ,lnZstd,dlnZ
NestedSamplers.jl,2,0.040124793,-3.776611302476892,0.1259604503086115,-0.017504365417135404
NestedSamplers.jl,4,0.264282685,-5.905758259445603,0.1307813273766663,0.28215500818440553
NestedSamplers.jl,8,1.248085493,-10.509974669347862,0.1365781040925085,-0.05921018598661476
NestedSamplers.jl,16,10.817955738,-17.873550793433207,0.14071085448722837,0.5586691927309388
dynesty,2,13.998151217,-3.6544882444005133,0.1757184239472305,0.10461869265924317
dynesty,4,89.716491323,-6.21727948417353,0.18737407387137883,-0.02936621654352134
dynesty,8,614.704773432,-10.486069868517422,0.1955724257483754,-0.03530538515617465
dynesty,16,4002.620846303,-18.38592241896873,0.19906552168471234,0.04629756719541689
